Plate Height Test:,pcrplates_postmixfix20161123100845,,,,,,,,,,,,
Time:,2016-11-23 10:08:45.195774173 +0000 GMT,,,,,,,,,,,,
antha-lang/antha commitID:,8995491f33dadd85c306bcb2402cbde08b9ddef1,,,,,,,,,,,,
,,,,,,,,,,,,,
TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? , Comments,plate Z start,Plate Height,lhpolicy aspirate z offset,lhpolicy dispense z offset
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,water,19.000ul,A1,0.5-1,0.5,yes, ,18.5,15.5,<nil>,1
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,PostMix,19.000ul,B1,0.5-1,0,no, ,18.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,PreMix,19.000ul,C1,0.5-1,0,no, ,18.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,D1,0.5-1,at top,yes, ,18.5,15.5,<nil>,<nil>
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,water,100.000ul,E1,2,0.75,yes, ,18.5,15.5,<nil>,1
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,PostMix,100.000ul,F1,2,0.25,yes, ,18.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,PreMix,100.000ul,G1,2,0.25,yes, ,18.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,H1,2,at top,yes, ,18.5,15.5,<nil>,<nil>
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,water,19.000ul,A1,  ,0.5, , ,38.5,15.5,<nil>,1
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,PostMix,19.000ul,B1,  ,0, , ,38.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,PreMix,19.000ul,C1,  ,0, , ,38.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,D1,  ,top, , ,38.5,15.5,<nil>,<nil>
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,water,100.000ul,E1,  ,1, , ,38.5,15.5,<nil>,1
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,PostMix,100.000ul,F1,  ,0.5, , ,38.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,PreMix,100.000ul,G1,  ,0.5, , ,38.5,15.5,<nil>,0.5
pcrplates_postmixfix20161123100845,pcrplate_skirted_riser40_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,H1,  ,at top, , ,38.5,15.5,<nil>,<nil>
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,recommendations,,,,,,,,,,,,
,increase plate height by 0.5,Check greiner plate first and then make changes to either plate or lhpolicy,,,,,,,,,,,
,"check aspz height for water, default, pre mix and post mix",,doesn’t seem to be a difference; check with Sid,,,,,,,,,,
,increase shallow riser height by 0.25,,done,,,,,,,,,,
,reduce offset by 0.25,,done,,,,,,,,,,
,is there a difference to how asp z and dsp z are being implemented?,,,,,,,,,,,,
